id,first_name,surname,sex,email,city_id,monthly_budget,date of birth
52,Franklyn,Findlay,M,Franklyn.Findlay@yahoo.com,1,800,1975/09/08
53,Lilly-Ann,Frey,F,Li.Fr@hotmail.com,1,1000,1997/01/06
54,Cavan,Bates,M,Ca.Ba@walla.co.il,3,800,1998/07/13
55,Yasir,Noel,M,Ya.Noel@walla.co.il,5,500,1965/11/03
56,Kyra,Mccann,F,Ky.Mc@walla.co.il,1,500,1966/11/13
57,Kya,Melton,M,Kya.Me@gmail.com,4,500,1996/07/04
58,Colleen,Steele,F,Co.St@hotmail.com,1,800,1986/10/16
59,Jaydon,Trujillo,M,Jaydon.Tr@walla.co.il,1,1000,1980/08/30
60,Bryson,Lynch,M,Bryson.Ly@hotmail.com,1,800,1981/08/25
61,Kiki,Schneider,F,Kiki.Sc@hotmail.com,4,600,1991/07/09
62,Janine,Coulson,F,Ja.Coulson@gmail.com,4,500,1980/08/27
63,Lorena,Dunkley,M,Lo.Dunkley@walla.co.il,5,500,1971/09/14
64,Jody,Horn,F,Jo.Ho@walla.co.il,2,600,1991/06/16
65,Carmen,Calvert,F,Carmen.Ca@hotmail.com,1,1000,1978/08/27
66,Kamron,Goodwin,M,Ka.Goodwin@hotmail.com,3,800,1976/09/20
67,Campbell,Alvarez,M,Campbell.Alvarez@hotmail.com,5,600,1978/02/27
68,Aydin,Hirst,M,Aydin.Hirst@hotmail.com,1,1000,1995/09/09
69,Griff,Blackwell,M,Griff.Blackwell@walla.co.il,3,1000,2003/05/22
70,Ari,Barr,M,Ar.Barr@yahoo.com,3,500,2003/06/12
71,Cecil,Hatfield,M,Ce.Ha@hotmail.com,3,500,2002/10/25
72,Nichole,Edge,F,Nichole.Edge@gmail.com,5,600,1976/08/21
73,Sohaib,Walls,M,Sohaib.Walls@gmail.com,5,600,1973/08/14
74,Lani,O'Reilly,M,Lani.O@walla.co.il,4,600,1993/12/02
75,Bridie,Morales,F,Bridie.Morales@yahoo.com,2,800,1989/08/19
76,Christina,Blankenship,F,Christina.Bl@walla.co.il,4,500,1985/09/22
77,Claude,Patel,M,Cl.Pa@yahoo.com,1,600,1972/02/05
78,Whitney,Farrington,M,Whitney.Farrington@yahoo.com,3,500,2000/02/27
79,Danny,Ortiz,M,Danny.Or@hotmail.com,3,600,1996/04/10
80,Sioned,Russell,F,Sioned.Russell@walla.co.il,3,1000,1983/10/14
81,Daniel,Calderon,M,Daniel.Ca@walla.co.il,5,500,1977/07/18
82,Misha,Ashley,M,Mi.As@hotmail.com,3,1000,1999/06/24
83,Tony,Francis,M,To.Francis@gmail.com,5,600,1995/10/16
84,Simone,Morse,F,Si.Mo@hotmail.com,5,500,1991/11/23
85,Milly,Cash,F,Mi.Cash@gmail.com,2,600,1982/03/24
86,Keir,Ewing,M,Keir.Ewing@walla.co.il,3,800,1993/04/12
87,Mason,Booth,M,Ma.Bo@yahoo.com,2,600,1985/07/29
88,Anayah,Lee,F,Anayah.Lee@hotmail.com,4,1000,1993/10/01
89,Jerry,Smith,F,Jerry.Sm@gmail.com,5,500,1986/06/21
90,Joss,Brandt,F,Joss.Brandt@walla.co.il,1,800,1964/12/15
91,Leo,Walton,M,Leo.Walton@hotmail.com,5,1000,1989/09/15
92,Sofia,Calhoun,F,So.Calhoun@walla.co.il,2,500,1995/12/05
93,Alexandru,Holmes,M,Al.Ho@hotmail.com,5,600,1986/05/30
94,Sayed,Irvine,M,Sayed.Ir@yahoo.com,4,600,1983/09/23
95,Briony,Plummer,F,Br.Pl@yahoo.com,4,600,1992/07/01
96,Presley,Yu,F,Pr.Yu@walla.co.il,3,800,1982/10/09
97,Gabriel,Bannister,M,Ga.Bannister@gmail.com,1,800,1981/11/24
98,Amina,Hogan,F,Am.Ho@yahoo.com,5,800,1976/01/31
99,Osian,England,M,Os.England@hotmail.com,4,500,1992/05/23
100,Patryk,Burgess,M,Patryk.Burgess@yahoo.com,4,600,1999/09/12
101,Yaqub,Reese,M,Ya.Reese@gmail.com,1,500,1980/06/03
102,Wren,Arnold,F,Wren.Arnold@yahoo.com,3,1000,2007/01/21
103,Gregor,Bishop,M,Gr.Bishop@hotmail.com,5,800,1992/03/26
104,Blake,Dyer,F,Blake.Dy@gmail.com,3,1000,1978/10/21
105,Bonita,Benton,F,Bo.Benton@hotmail.com,1,1000,1994/12/08
106,Simeon,Guevara,M,Simeon.Gu@walla.co.il,3,1000,1981/04/25
107,Anton,Ray,M,Anton.Ray@yahoo.com,5,1000,1980/01/14
108,Alexa,Stokes,F,Al.Stokes@yahoo.com,1,800,1996/11/24
109,Simon,Mccormick,M,Si.Mc@walla.co.il,4,800,1967/12/20
110,Danyl,Martins,M,Da.Martins@yahoo.com,5,800,1981/01/18
111,Barbara,Hayward,F,Barbara.Ha@hotmail.com,2,800,1980/06/18
112,Faith,Owen,F,Fa.Ow@yahoo.com,3,1000,1962/04/23
113,Macie,Lara,F,Ma.La@gmail.com,3,1000,1992/10/31
114,Matthias,Norton,M,Matthias.No@yahoo.com,5,1000,1979/11/25
115,Rami,Sexton,M,Rami.Sexton@hotmail.com,2,600,1969/10/19
116,Tess,Dorsey,F,Tess.Dorsey@yahoo.com,3,500,1984/01/05
117,Lillie,Barnard,F,Li.Barnard@hotmail.com,4,500,1993/08/11
118,Amar,Hewitt,M,Amar.He@gmail.com,4,600,1970/01/17
119,Steffan,Mata,M,St.Ma@walla.co.il,2,500,1991/07/19
120,Bridget,Colley,F,Bridget.Co@gmail.com,5,800,1985/11/28
121,Princess,Timms,F,Pr.Ti@gmail.com,1,800,1979/08/20
122,Ellena,Castro,F,El.Ca@yahoo.com,4,800,1971/04/05
123,Romy,Neal,F,Romy.Neal@walla.co.il,1,600,1974/10/31
124,Imogen,Lynch,F,Im.Ly@hotmail.com,3,1000,1965/12/11
125,Maheen,Marin,M,Maheen.Ma@hotmail.com,4,500,1987/01/22
126,Macey,Almond,M,Macey.Almond@yahoo.com,1,1000,1986/02/18
127,Tylor,Cochran,M,Ty.Cochran@gmail.com,2,800,1978/06/19
128,Parker,Drake,M,Parker.Dr@walla.co.il,3,800,1983/01/20
129,Bobbie,Cochran,F,Bo.Cochran@gmail.com,4,800,1972/09/17
130,Haleemah,Davidson,F,Haleemah.Da@yahoo.com,1,1000,1992/07/30
131,Jun,Barnard,M,Ju.Ba@hotmail.com,3,1000,1962/02/26
132,Yousuf,Banks,M,Yousuf.Ba@hotmail.com,2,800,1982/10/28
133,Liyana,Stanton,F,Li.Stanton@hotmail.com,2,800,1989/10/08
134,Brandi,Travis,F,Brandi.Travis@hotmail.com,1,600,2005/08/10
135,Cynthia,Frye,F,Cy.Fr@walla.co.il,2,1000,1976/10/11
136,Shanay,Reyna,M,Sh.Reyna@yahoo.com,5,500,1999/03/26
137,Terrence,Payne,M,Te.Pa@hotmail.com,1,800,1982/08/05
138,Jiya,Raymond,F,Ji.Ra@hotmail.com,5,600,1984/09/06
139,Octavia,Hooper,F,Oc.Hooper@gmail.com,2,800,1987/04/22
140,Florrie,Wilson,F,Fl.Wilson@walla.co.il,1,600,1990/12/04
141,Chanel,Paine,F,Chanel.Paine@gmail.com,2,500,1997/11/18
142,Atlanta,Cunningham,F,At.Cunningham@hotmail.com,4,600,2001/10/19
143,Aman,Driscoll,M,Am.Dr@hotmail.com,4,800,2008/04/23
144,Willie,Cairns,M,Willie.Ca@hotmail.com,4,600,1974/11/12
145,Taran,Samuels,F,Ta.Samuels@hotmail.com,4,600,1982/09/22
146,Tiya,Warren,F,Tiya.Warren@gmail.com,1,600,1995/01/11
147,Ahsan,Oneil,M,Ah.On@walla.co.il,4,500,1980/10/06
148,Nora,Xiong,M,Nora.Xiong@walla.co.il,4,1000,1982/07/13
149,Zoey,Hendricks,F,Zoey.He@hotmail.com,4,600,1973/03/04
150,Lilly-Mae,Greer,F,Li.Gr@hotmail.com,3,800,2024/06/04
151,Arisha,Irving,F,Ar.Irving@walla.co.il,3,500,1988/09/13
152,Keir,Broughton,F,Ke.Broughton@hotmail.com,5,600,2000/03/08
153,Kaiya,Robin,M,Ka.Robin@walla.co.il,5,500,1973/03/26
154,Daanyal,Holding,M,Da.Ho@walla.co.il,3,1000,1988/01/14
155,Axl,Bull,M,Axl.Bull@walla.co.il,3,600,1984/05/27
156,Amara,Shelton,M,Am.Sh@yahoo.com,5,600,1973/02/14
157,Lynn,Mackie,F,Lynn.Ma@yahoo.com,4,1000,1983/09/10
158,Kristi,Faulkner,M,Kr.Fa@walla.co.il,5,1000,1996/10/16
159,Kaden,Oneal,M,Ka.Oneal@walla.co.il,3,800,1988/08/05
160,Yu,Hudson,F,Yu.Hu@yahoo.com,1,800,1966/10/19
161,Callen,Dodd,M,Ca.Dodd@hotmail.com,3,500,1964/06/10
162,Christos,Rodriquez,M,Ch.Ro@yahoo.com,3,800,1966/12/25
163,Aman,Mccoy,F,Aman.Mc@hotmail.com,4,500,1974/12/02
164,Danyal,Brennan,M,Da.Brennan@gmail.com,3,500,1980/04/23
165,Frankie,Huff,F,Frankie.Huff@walla.co.il,3,1000,1978/06/27
166,Luka,Holder,F,Luka.Ho@yahoo.com,5,500,1979/08/28
167,Milan,Brookes,F,Mi.Br@gmail.com,5,500,2024/05/31
168,Manveer,Knight,F,Manveer.Kn@hotmail.com,4,800,1996/10/14
169,Emaan,Greenaway,M,Emaan.Greenaway@gmail.com,4,500,1992/10/13
170,Acacia,Slater,F,Ac.Slater@walla.co.il,1,500,1991/05/04
171,Hanna,Shelton,F,Hanna.Shelton@walla.co.il,5,600,1998/03/08
172,Frances,Major,M,Fr.Major@gmail.com,5,600,1976/07/23
173,Renzo,Henderson,M,Re.Henderson@walla.co.il,2,1000,1975/01/31
174,Freyja,Molina,F,Fr.Mo@hotmail.com,1,600,1967/04/20
175,Sadie,Waller,F,Sadie.Wa@gmail.com,2,1000,1995/04/28
176,Amman,Zavala,F,Am.Zavala@gmail.com,5,600,1989/12/20
177,Sydney,Wells,F,Sy.Wells@yahoo.com,1,500,1991/01/21
178,Jill,Frame,M,Jill.Fr@gmail.com,1,500,1976/10/26
179,Israel,Dunlap,M,Is.Du@walla.co.il,2,500,2024/09/12
180,Bilaal,Berry,M,Bilaal.Berry@yahoo.com,2,1000,1975/12/12
181,Armaan,Weston,M,Ar.Weston@hotmail.com,1,600,1977/01/24
182,Micah,Tucker,M,Mi.Tu@yahoo.com,2,800,1991/09/08
183,Elijah,Beech,M,Elijah.Be@hotmail.com,1,500,1994/02/02
184,Farah,Sutton,F,Farah.Sutton@yahoo.com,1,500,1985/12/19
185,Subhaan,Washington,M,Su.Wa@hotmail.com,5,500,1978/07/26
186,Ariya,Armstrong,F,Ariya.Armstrong@gmail.com,5,600,1995/05/17
187,Niyah,Whelan,M,Niyah.Whelan@yahoo.com,3,1000,1959/07/15
188,Darlene,Perry,F,Da.Perry@hotmail.com,2,800,1967/12/17
189,Nelson,Esparza,M,Nelson.Esparza@yahoo.com,4,500,1990/12/14
190,Kristina,Hutchinson,F,Kr.Hutchinson@yahoo.com,2,1000,1962/11/04
191,Kara,Thompson,F,Kara.Thompson@gmail.com,2,800,1978/11/28
192,Amrit,Haworth,M,Am.Ha@hotmail.com,5,1000,1964/05/16
193,Mira,Kent,M,Mi.Kent@walla.co.il,1,500,1985/05/15
194,Shannon,Harwood,F,Shannon.Ha@walla.co.il,5,800,1979/06/18
195,Samuel,Huerta,M,Sa.Huerta@gmail.com,2,800,1970/08/07
196,Juan,Barlow,M,Juan.Ba@yahoo.com,4,500,2002/03/15
197,Natalia,Daniel,F,Natalia.Da@gmail.com,4,500,1993/09/10
198,Drew,Begum,M,Drew.Begum@gmail.com,3,800,2024/05/28
199,Nial,Meadows,M,Nial.Me@yahoo.com,5,500,1968/04/07
200,Diya,Myers,F,Diya.My@walla.co.il,5,600,1975/05/04
